,Signature,Raag,Thaat,Prahar,Aaroha,Avroha,Vadi,Samvadi,Pakad,Jati,AS,AR,AG,AM,AP,AD,AN,VS,VR,VG,VM,VP,VD,VN,coeff,P,V,S,coeff2,BS,BR,BG,BM,BP,BD,BN
187,344,Latika,Poorvi,4 (3pm - 6pm),"S - R - G, P - d - N - S'",S' - N - d - P - G - R - S,G,N,,Shadav - Shadav,H,H,H,A,H,K,H,H,H,H,A,H,K,H,3.3333,4,3,6,4.5,H,H,H,A,H,K,H
191,245,Ratnadeep,Marwa,5 (6pm - 9pm),S - G - M - P - N - S',S' - D - P - M - G - r - S,R,P,,Audav - Shadav,H,A,H,T,H,A,H,H,K,H,T,H,H,A,3.8182,5,5,2,3.5,H,K,H,T,H,H,H
193,246,Haunsnad,Marwa,5 (6pm - 9pm),S - r - G - M - N - S',S' - N - P - M - r - S,S,P,,Audav - Audav,H,K,H,T,A,A,H,H,K,A,T,H,A,H,4.5,5,1,2,1.5,H,K,H,T,H,A,H
196,61,Dhanashree,Kafi,4 (3pm - 6pm),n - S - g - m - P - n - S',S' - n - D - P - m - g - R - S,P,S,"n - S - g - m - P - g, m - g - R - ?n - S",Audav - Sampoorna,H,A,K,H,H,A,K,H,H,K,H,H,H,K,3.0833,4,2,1,1.5,H,H,K,H,H,H,K
197,125,"Ranjani, Madhu / Madhuranjani",Kafi,4 (3pm - 6pm),N - S - g - m - P - N - S',S' - N - P - m - g - R - S,P,S,g - m - P - N - S' - N - P - m - g - R - S,Audav - Shadav,H,A,K,H,H,A,H,H,H,K,H,H,A,H,3.1818,4,2,1,1.5,H,H,K,H,H,A,H
200,307,Kolhaas,Kafi,4 (3pm - 6pm),S - R - g - P - D - n - S',S' - n - D - P - g - R - S,P,S,,Shadav - Shadav,H,H,K,A,H,H,K,H,H,K,A,H,H,K,3.5,4,2,1,1.5,H,H,K,A,H,H,K
206,383,Simhendra Madhyam,,4 (3pm - 6pm),S - R - g - M - P - d - N - S',S' - N - d - P - M - g - R - S,P,S,RgMPdP - NdPMg RgRS,Sampoorna - Sampoorna,H,H,K,T,H,K,H,H,H,K,T,H,K,H,4.0,4,2,1,1.5,H,H,K,T,H,K,H
208,382,Palasi,Kafi,4 (3pm - 6pm),S - g - m - P - n - S',S' - n - P - m - G - R - S,P,S',PnPmg - RS,Audav - Shadav,H,A,K,H,H,A,K,H,H,H,H,H,A,K,2.9091,4,2,1,1.5,H,H,B,H,H,A,K
209,38,Bhoop / Bhup / Bhupali,Kalyan,5 (6pm - 9pm),S - R - G - P - D - S',S' - D - P - G - R - S,G,D,S RG R G - RG RPG - RG SR 'DS,Audav - Audav,H,H,H,A,H,H,A,H,H,H,A,H,H,A,3.0,5,3,4,3.5,H,H,H,A,H,H,A
212,362,Kala Bharan,Khamaaj,5 (6pm - 9pm),S - R - G - m - P - D - n - S',S' - D - P - G - R - S,G,D,,Sampoorna - Audav,H,H,H,H,H,H,K,H,H,H,A,H,H,A,3.0833,5,3,4,3.5,H,H,H,H,H,H,K
214,432,Nindiyaari,Kalyan,5 (6pm - 9pm),N - S - R - G - M - P - D - N - S',S' - N - D - P - m - G - R - S,R,D,"D - 'N - S - R, S - 'N - S",Sampoorna - Sampoorna,H,H,H,T,H,H,H,H,H,H,H,H,H,H,3.6429,5,5,4,4.5,H,H,H,B,H,H,H
218,262,Rajeshwari,,5 (6pm - 9pm),S - g - m - D - N - S',S' - N - D - m - g - S,S,m,,Audav - Audav,H,A,K,H,A,H,H,H,A,K,H,A,H,H,3.4,5,1,2,1.5,H,A,K,H,A,H,H
221,184,Yaman,Kalyan,5 (6pm - 9pm),N - R - G - M - D - N - S',S' - N - D - P - M - G - R - S,G,N,NRG - RG - P (G)R - GR - 'NRS,Shadav - Sampoorna,H,H,H,T,A,H,H,H,H,H,T,H,H,H,4.1538,5,3,6,4.5,H,H,H,T,H,H,H
222,269,Chandrakant,Kalyan,5 (6pm - 9pm),S - R - G - P - D - N - S',"S' - N - D - P, M - G - R - S",G,N,,Shadav - Sampoorna,H,H,H,A,H,H,H,H,H,H,T,H,H,H,3.7692,5,3,6,4.5,H,H,H,T,H,H,H
224,116,Khamaj,Khamaaj,5 (6pm - 9pm),S - G - m - P - D - N - S',S' - n - D - P - m - G - R - S,G,N,G - m - n - D - P - D - m - G - P,Shadav - Sampoorna,H,A,H,H,H,H,H,H,H,H,H,H,H,K,3.0769,5,3,6,4.5,H,H,H,H,H,H,B
236,212,Dhanashree,Bilawal,5 (6pm - 9pm),N - S - G - m - P - N - S',"S' - N - D - P, P - Dm, P - G, G - m - G - R - S",S,P,"N - (D)P, D - (P)m, P - (m)G, m - R - S",Audav - Sampoorna,H,A,H,H,H,A,H,H,H,H,H,H,H,H,3.0833,5,1,2,1.5,H,H,H,H,H,H,H
247,239,Koumari,Poorvi,5 (6pm - 9pm),S - r - G - M - P - N - S',S' - N - P - M - G - r - S,,,,Shadav - Shadav,H,K,H,T,H,A,H,H,K,H,T,H,A,H,4.1667,5,0,0,0.0,H,K,H,T,H,A,H
